timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.74495E+12,725,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,TRUE,,5664,525,19,30,null,0,5581,546
1.74495E+12,725,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,TRUE,,5664,525,19,30,https://petstore.octoperf.com/actions/Catalog.action,723,0,546
1.74495E+12,1739,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-23,,TRUE,,5664,525,9,30,null,0,2,1557
1.74495E+12,1739,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-23,text,TRUE,,5664,525,9,30,https://petstore.octoperf.com/actions/Catalog.action,1738,0,1557
1.74495E+12,178,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-28,,TRUE,,4212,630,10,32,null,0,6294,0
1.74495E+12,178,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-28,text,TRUE,,4212,630,10,32,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,178,0,0
1.74495E+12,716,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,,TRUE,,5664,525,20,32,null,0,5620,538
1.74495E+12,716,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,text,TRUE,,5664,525,20,32,https://petstore.octoperf.com/actions/Catalog.action,716,0,538
1.74495E+12,1699,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-22,,TRUE,,5664,525,10,33,null,0,2,541
1.74495E+12,1699,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-22,text,TRUE,,5664,525,10,33,https://petstore.octoperf.com/actions/Catalog.action,1528,0,541
1.74495E+12,714,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-21,,TRUE,,5664,525,10,33,null,0,2,535
1.74495E+12,714,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-21,text,TRUE,,5664,525,10,33,https://petstore.octoperf.com/actions/Catalog.action,711,0,535
1.74495E+12,710,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,,TRUE,,5664,525,21,33,null,0,5659,533
1.74495E+12,710,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,text,TRUE,,5664,525,21,33,https://petstore.octoperf.com/actions/Catalog.action,710,0,533
1.74495E+12,717,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-52,,TRUE,,5664,525,22,35,null,0,5590,538
1.74495E+12,717,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-52,text,TRUE,,5664,525,22,35,https://petstore.octoperf.com/actions/Catalog.action,717,0,538
1.74495E+12,361,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-27,,TRUE,,4212,630,11,37,null,0,6245,0
1.74495E+12,361,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-27,text,TRUE,,4212,630,11,37,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,189,0,0
1.74495E+12,714,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-51,,TRUE,,5664,525,23,37,null,0,5596,532
1.74495E+12,714,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-51,text,TRUE,,5664,525,23,37,https://petstore.octoperf.com/actions/Catalog.action,713,0,532
1.74495E+12,708,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-20,,TRUE,,5664,525,11,37,null,0,2,531
1.74495E+12,708,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-20,text,TRUE,,5664,525,11,37,https://petstore.octoperf.com/actions/Catalog.action,708,0,531
1.74495E+12,724,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-50,,TRUE,,5664,525,24,39,null,0,5657,547
1.74495E+12,724,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-50,text,TRUE,,5664,525,24,39,https://petstore.octoperf.com/actions/Catalog.action,724,0,547
1.74495E+12,180,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-26,,TRUE,,4212,630,12,39,null,0,6328,0
1.74495E+12,180,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-26,text,TRUE,,4212,630,12,39,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,179,0,0
1.74495E+12,711,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-19,,TRUE,,5664,525,12,40,null,0,2,534
1.74495E+12,711,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-19,text,TRUE,,5664,525,12,40,https://petstore.octoperf.com/actions/Catalog.action,711,0,534
1.74495E+12,769,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-49,,TRUE,,5664,525,26,41,null,0,5645,582
1.74495E+12,769,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-49,text,TRUE,,5664,525,26,41,https://petstore.octoperf.com/actions/Catalog.action,769,0,582
1.74495E+12,717,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-48,,TRUE,,5664,525,26,42,null,0,5602,540
1.74495E+12,717,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-48,text,TRUE,,5664,525,26,42,https://petstore.octoperf.com/actions/Catalog.action,717,0,540
1.74495E+12,178,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-25,,TRUE,,4212,630,13,42,null,0,6301,0
1.74495E+12,178,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-25,text,TRUE,,4212,630,13,42,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,178,0,0
1.74495E+12,704,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-47,,TRUE,,5664,525,27,43,null,0,5593,529
1.74495E+12,704,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-47,text,TRUE,,5664,525,27,43,https://petstore.octoperf.com/actions/Catalog.action,704,0,529
1.74495E+12,738,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-18,,TRUE,,5664,525,13,44,null,0,1,560
1.74495E+12,738,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-18,text,TRUE,,5664,525,13,44,https://petstore.octoperf.com/actions/Catalog.action,738,0,560
1.74495E+12,707,03_01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 3 - Add To Cart - jp@gc - Ultimate Thread Group 3-8,,TRUE,,5664,525,3,44,null,0,9360,531
1.74495E+12,707,03_01_Open URL,200,,Skenario 3 - Add To Cart - jp@gc - Ultimate Thread Group 3-8,text,TRUE,,5664,525,3,44,https://petstore.octoperf.com/actions/Catalog.action,707,0,531
1.74495E+12,728,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-46,,TRUE,,5664,525,28,45,null,0,5591,552
1.74495E+12,728,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-46,text,TRUE,,5664,525,28,45,https://petstore.octoperf.com/actions/Catalog.action,727,0,552
1.74495E+12,177,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-24,,TRUE,,4212,630,14,46,null,0,6273,0
1.74495E+12,177,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-24,text,TRUE,,4212,630,14,46,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,177,0,0
1.74495E+12,714,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-45,,TRUE,,5664,525,29,46,null,0,5650,532
1.74495E+12,714,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-45,text,TRUE,,5664,525,29,46,https://petstore.octoperf.com/actions/Catalog.action,713,0,532
1.74495E+12,180,02_03_Click On Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-29,,TRUE,,4767,662,14,47,null,0,5588,0
1.74495E+12,180,02_03_Click On Product Id,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-29,text,TRUE,,4767,662,14,47,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-RT-02,179,0,0
1.74495E+12,1141,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-17,,TRUE,,5664,525,15,49,null,0,2,570
1.74495E+12,1141,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-17,text,TRUE,,5664,525,15,49,https://petstore.octoperf.com/actions/Catalog.action,1141,0,570
1.74495E+12,187,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,TRUE,,4081,923,31,50,null,0,8285,0
1.74495E+12,187,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,TRUE,,4081,923,31,50,https://petstore.octoperf.com/actions/Catalog.action,187,0,0
1.74495E+12,1024,02_03_Click On Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-30,,TRUE,,4126,662,15,50,null,0,5553,0
1.74495E+12,1024,02_03_Click On Product Id,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-30,text,TRUE,,4126,662,15,50,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-CW-01,1023,0,0
1.74495E+12,706,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-43,,TRUE,,5664,525,31,50,null,0,5661,529
1.74495E+12,706,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-43,text,TRUE,,5664,525,31,50,https://petstore.octoperf.com/actions/Catalog.action,705,0,529
1.74495E+12,179,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,TRUE,,3441,923,32,51,null,0,8257,0
1.74495E+12,179,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,TRUE,,3441,923,32,51,https://petstore.octoperf.com/actions/Catalog.action,179,0,0
1.74495E+12,710,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-16,,TRUE,,5664,525,15,51,null,0,1,533
1.74495E+12,710,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-16,text,TRUE,,5664,525,15,51,https://petstore.octoperf.com/actions/Catalog.action,710,0,533
1.74495E+12,179,02_03_Click On Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-28,,TRUE,,4126,662,15,51,null,0,5503,0
1.74495E+12,179,02_03_Click On Product Id,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-28,text,TRUE,,4126,662,15,51,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-CW-01,178,0,0
1.74495E+12,709,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-42,,TRUE,,5664,525,32,52,null,0,5632,533
1.74495E+12,709,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-42,text,TRUE,,5664,525,32,52,https://petstore.octoperf.com/actions/Catalog.action,709,0,533
1.74495E+12,178,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-23,,TRUE,,4212,630,16,53,null,0,6256,0
1.74495E+12,178,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-23,text,TRUE,,4212,630,16,53,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,178,0,0
1.74495E+12,2055,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-44,,TRUE,,5664,525,33,53,null,0,5601,1245
1.74495E+12,2055,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-44,text,TRUE,,5664,525,33,53,https://petstore.octoperf.com/actions/Catalog.action,2054,0,1245
1.74495E+12,716,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-41,,TRUE,,5664,525,33,53,null,0,5609,540
1.74495E+12,716,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-41,text,TRUE,,5664,525,33,53,https://petstore.octoperf.com/actions/Catalog.action,716,0,540
1.74495E+12,706,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-15,,TRUE,,5664,525,16,54,null,0,1,530
1.74495E+12,706,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-15,text,TRUE,,5664,525,16,54,https://petstore.octoperf.com/actions/Catalog.action,706,0,530
1.74495E+12,190,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,TRUE,,3445,927,34,54,null,0,8300,0
1.74495E+12,190,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,TRUE,,3445,927,34,54,https://petstore.octoperf.com/actions/Catalog.action,190,0,0
1.74495E+12,834,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,TRUE,,3441,923,34,54,null,0,8272,0
1.74495E+12,834,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,TRUE,,3441,923,34,54,https://petstore.octoperf.com/actions/Catalog.action,834,0,0
1.74495E+12,178,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,TRUE,,3442,924,34,55,null,0,8233,0
1.74495E+12,178,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,TRUE,,3442,924,34,55,https://petstore.octoperf.com/actions/Catalog.action,178,0,0
1.74495E+12,761,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-40,,TRUE,,5664,525,35,56,null,0,5650,572
1.74495E+12,761,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-40,text,TRUE,,5664,525,35,56,https://petstore.octoperf.com/actions/Catalog.action,760,0,572
1.74495E+12,178,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-22,,TRUE,,4212,630,17,56,null,0,6311,0
1.74495E+12,178,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-22,text,TRUE,,4212,630,17,56,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,177,0,0
1.74495E+12,177,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-21,,TRUE,,4212,630,17,56,null,0,6306,0
1.74495E+12,177,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-21,text,TRUE,,4212,630,17,56,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,176,0,0
1.74495E+12,180,02_03_Click On Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-27,,TRUE,,4767,662,17,56,null,0,5589,0
1.74495E+12,180,02_03_Click On Product Id,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-27,text,TRUE,,4767,662,17,56,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-RT-02,180,0,0
1.74495E+12,718,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-39,,TRUE,,5664,525,35,56,null,0,5621,538
1.74495E+12,718,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-39,text,TRUE,,5664,525,35,56,https://petstore.octoperf.com/actions/Catalog.action,718,0,538
1.74495E+12,179,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,TRUE,,4081,923,35,56,null,0,8239,0
1.74495E+12,179,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,TRUE,,4081,923,35,56,https://petstore.octoperf.com/actions/Catalog.action,179,0,0
1.74495E+12,755,03_01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 3 - Add To Cart - jp@gc - Ultimate Thread Group 3-7,,TRUE,,5664,525,4,56,null,0,9335,567
1.74495E+12,755,03_01_Open URL,200,,Skenario 3 - Add To Cart - jp@gc - Ultimate Thread Group 3-7,text,TRUE,,5664,525,4,56,https://petstore.octoperf.com/actions/Catalog.action,755,0,567
1.74495E+12,733,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-14,,TRUE,,5664,525,17,57,null,0,1,537
1.74495E+12,733,02_01_Open Url,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-14,text,TRUE,,5664,525,17,57,https://petstore.octoperf.com/actions/Catalog.action,733,0,537
1.74495E+12,181,02_03_Click On Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-26,,TRUE,,4138,662,17,57,null,0,5553,0
1.74495E+12,181,02_03_Click On Product Id,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-26,text,TRUE,,4138,662,17,57,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-DL-01,181,0,0
1.74495E+12,712,01_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-38,,TRUE,,5664,525,36,58,null,0,5625,535
1.74495E+12,712,01_01_Open Url,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-38,text,TRUE,,5664,525,36,58,https://petstore.octoperf.com/actions/Catalog.action,711,0,535
1.74495E+12,177,01_02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,TRUE,,3441,923,37,59,null,0,8299,0
1.74495E+12,177,01_02_Search,200,,Skenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,TRUE,,3441,923,37,59,https://petstore.octoperf.com/actions/Catalog.action,177,0,0
1.74495E+12,178,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-20,,TRUE,,4212,630,18,59,null,0,6333,0
1.74495E+12,178,02_02_Click On Category,200,,Skenario 2 - View Detail - jp@gc - Ultimate Thread Group 2-20,text,TRUE,,4212,630,18,59,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,178,0,0
